combo_id,n_symbols,n_instances,avg_instances_per_symbol
S1_AT_CLOS_H1,20,11751,587.55
S1_AT_CLOS_H2,20,11736,586.8
S1_AT_CLOS_H3,20,11723,586.15
S1_AT_CLOS_H4,20,11719,585.95
S1_AT_CLOS_H5,20,11714,585.7
S1_AT_CLOS_H6,20,11709,585.45
S1_AT_CLOS_H7,20,11706,585.3
S1_AT_OPEN_H1,20,11736,586.8
S1_AT_OPEN_H2,20,11723,586.15
S1_AT_OPEN_H3,20,11719,585.95
S1_AT_OPEN_H4,20,11714,585.7
S1_AT_OPEN_H5,20,11709,585.45
S1_AT_OPEN_H6,20,11706,585.3
S1_AT_OPEN_H7,20,11704,585.2
S1_EX_CLOS_H1,20,6145,307.25
S1_EX_CLOS_H2,20,6139,306.95
S1_EX_CLOS_H3,20,6129,306.45
S1_EX_CLOS_H4,20,6126,306.3
S1_EX_CLOS_H5,20,6122,306.1
S1_EX_CLOS_H6,20,6118,305.9
S1_EX_CLOS_H7,20,6115,305.75
S1_EX_OPEN_H1,20,6139,306.95
S1_EX_OPEN_H2,20,6129,306.45
S1_EX_OPEN_H3,20,6126,306.3
S1_EX_OPEN_H4,20,6122,306.1
S1_EX_OPEN_H5,20,6118,305.9
S1_EX_OPEN_H6,20,6115,305.75
S1_EX_OPEN_H7,20,6114,305.7
S2_AT_CLOS_H1,20,5606,280.3
S2_AT_CLOS_H2,20,5597,279.85
S2_AT_CLOS_H3,20,5594,279.7
S2_AT_CLOS_H4,20,5593,279.65
S2_AT_CLOS_H5,20,5592,279.6
S2_AT_CLOS_H6,20,5591,279.55
S2_AT_CLOS_H7,20,5591,279.55
S2_AT_OPEN_H1,20,5597,279.85
S2_AT_OPEN_H2,20,5594,279.7
S2_AT_OPEN_H3,20,5593,279.65
S2_AT_OPEN_H4,20,5592,279.6
S2_AT_OPEN_H5,20,5591,279.55
S2_AT_OPEN_H6,20,5591,279.55
S2_AT_OPEN_H7,20,5590,279.5
S2_EX_CLOS_H1,20,2959,147.95
S2_EX_CLOS_H2,20,2952,147.6
S2_EX_CLOS_H3,20,2950,147.5
S2_EX_CLOS_H4,20,2949,147.45
S2_EX_CLOS_H5,20,2948,147.4
S2_EX_CLOS_H6,20,2947,147.35
S2_EX_CLOS_H7,20,2947,147.35
S2_EX_OPEN_H1,20,2952,147.6
S2_EX_OPEN_H2,20,2950,147.5
S2_EX_OPEN_H3,20,2949,147.45
S2_EX_OPEN_H4,20,2948,147.4
S2_EX_OPEN_H5,20,2947,147.35
S2_EX_OPEN_H6,20,2947,147.35
S2_EX_OPEN_H7,20,2946,147.3
S3_AT_CLOS_H1,20,2647,132.35
S3_AT_CLOS_H2,20,2645,132.25
S3_AT_CLOS_H3,20,2644,132.2
S3_AT_CLOS_H4,20,2644,132.2
S3_AT_CLOS_H5,20,2644,132.2
S3_AT_CLOS_H6,20,2644,132.2
S3_AT_CLOS_H7,20,2644,132.2
S3_AT_OPEN_H1,20,2645,132.25
S3_AT_OPEN_H2,20,2644,132.2
S3_AT_OPEN_H3,20,2644,132.2
S3_AT_OPEN_H4,20,2644,132.2
S3_AT_OPEN_H5,20,2644,132.2
S3_AT_OPEN_H6,20,2644,132.2
S3_AT_OPEN_H7,20,2644,132.2
S3_EX_CLOS_H1,20,1463,73.15
S3_EX_CLOS_H2,20,1462,73.1
S3_EX_CLOS_H3,20,1461,73.05
S3_EX_CLOS_H4,20,1461,73.05
S3_EX_CLOS_H5,20,1461,73.05
S3_EX_CLOS_H6,20,1461,73.05
S3_EX_CLOS_H7,20,1461,73.05
S3_EX_OPEN_H1,20,1462,73.1
S3_EX_OPEN_H2,20,1461,73.05
S3_EX_OPEN_H3,20,1461,73.05
S3_EX_OPEN_H4,20,1461,73.05
S3_EX_OPEN_H5,20,1461,73.05
S3_EX_OPEN_H6,20,1461,73.05
S3_EX_OPEN_H7,20,1461,73.05
S4_AT_CLOS_H1,20,1184,59.2
S4_AT_CLOS_H2,20,1183,59.15
S4_AT_CLOS_H3,20,1183,59.15
S4_AT_CLOS_H4,20,1183,59.15
S4_AT_CLOS_H5,20,1183,59.15
S4_AT_CLOS_H6,20,1183,59.15
S4_AT_CLOS_H7,20,1183,59.15
S4_AT_OPEN_H1,20,1183,59.15
S4_AT_OPEN_H2,20,1183,59.15
S4_AT_OPEN_H3,20,1183,59.15
S4_AT_OPEN_H4,20,1183,59.15
S4_AT_OPEN_H5,20,1183,59.15
S4_AT_OPEN_H6,20,1183,59.15
S4_AT_OPEN_H7,20,1183,59.15
S4_EX_CLOS_H1,20,681,34.05
S4_EX_CLOS_H2,20,680,34.0
S4_EX_CLOS_H3,20,680,34.0
S4_EX_CLOS_H4,20,680,34.0
S4_EX_CLOS_H5,20,680,34.0
S4_EX_CLOS_H6,20,680,34.0
S4_EX_CLOS_H7,20,680,34.0
S4_EX_OPEN_H1,20,680,34.0
S4_EX_OPEN_H2,20,680,34.0
S4_EX_OPEN_H3,20,680,34.0
S4_EX_OPEN_H4,20,680,34.0
S4_EX_OPEN_H5,20,680,34.0
S4_EX_OPEN_H6,20,680,34.0
S4_EX_OPEN_H7,20,680,34.0
S5_AT_CLOS_H1,20,503,25.15
S5_AT_CLOS_H2,20,503,25.15
S5_AT_CLOS_H3,20,503,25.15
S5_AT_CLOS_H4,20,503,25.15
S5_AT_CLOS_H5,20,503,25.15
S5_AT_CLOS_H6,20,503,25.15
S5_AT_CLOS_H7,20,503,25.15
S5_AT_OPEN_H1,20,503,25.15
S5_AT_OPEN_H2,20,503,25.15
S5_AT_OPEN_H3,20,503,25.15
S5_AT_OPEN_H4,20,503,25.15
S5_AT_OPEN_H5,20,503,25.15
S5_AT_OPEN_H6,20,503,25.15
S5_AT_OPEN_H7,20,503,25.15
S5_EX_CLOS_H1,20,306,15.3
S5_EX_CLOS_H2,20,306,15.3
S5_EX_CLOS_H3,20,306,15.3
S5_EX_CLOS_H4,20,306,15.3
S5_EX_CLOS_H5,20,306,15.3
S5_EX_CLOS_H6,20,306,15.3
S5_EX_CLOS_H7,20,306,15.3
S5_EX_OPEN_H1,20,306,15.3
S5_EX_OPEN_H2,20,306,15.3
S5_EX_OPEN_H3,20,306,15.3
S5_EX_OPEN_H4,20,306,15.3
S5_EX_OPEN_H5,20,306,15.3
S5_EX_OPEN_H6,20,306,15.3
S5_EX_OPEN_H7,20,306,15.3
S6_AT_CLOS_H1,20,197,9.85
S6_AT_CLOS_H2,20,197,9.85
S6_AT_CLOS_H3,20,197,9.85
S6_AT_CLOS_H4,20,197,9.85
S6_AT_CLOS_H5,20,197,9.85
S6_AT_CLOS_H6,20,197,9.85
S6_AT_CLOS_H7,20,197,9.85
S6_AT_OPEN_H1,20,197,9.85
S6_AT_OPEN_H2,20,197,9.85
S6_AT_OPEN_H3,20,197,9.85
S6_AT_OPEN_H4,20,197,9.85
S6_AT_OPEN_H5,20,197,9.85
S6_AT_OPEN_H6,20,197,9.85
S6_AT_OPEN_H7,20,197,9.85
S6_EX_CLOS_H1,20,129,6.45
S6_EX_CLOS_H2,20,129,6.45
S6_EX_CLOS_H3,20,129,6.45
S6_EX_CLOS_H4,20,129,6.45
S6_EX_CLOS_H5,20,129,6.45
S6_EX_CLOS_H6,20,129,6.45
S6_EX_CLOS_H7,20,129,6.45
S6_EX_OPEN_H1,20,129,6.45
S6_EX_OPEN_H2,20,129,6.45
S6_EX_OPEN_H3,20,129,6.45
S6_EX_OPEN_H4,20,129,6.45
S6_EX_OPEN_H5,20,129,6.45
S6_EX_OPEN_H6,20,129,6.45
S6_EX_OPEN_H7,20,129,6.45
S7_AT_CLOS_H1,16,68,4.25
S7_AT_CLOS_H2,16,68,4.25
S7_AT_CLOS_H3,16,68,4.25
S7_AT_CLOS_H4,16,68,4.25
S7_AT_CLOS_H5,16,68,4.25
S7_AT_CLOS_H6,16,68,4.25
S7_AT_CLOS_H7,16,68,4.25
S7_AT_OPEN_H1,16,68,4.25
S7_AT_OPEN_H2,16,68,4.25
S7_AT_OPEN_H3,16,68,4.25
S7_AT_OPEN_H4,16,68,4.25
S7_AT_OPEN_H5,16,68,4.25
S7_AT_OPEN_H6,16,68,4.25
S7_AT_OPEN_H7,16,68,4.25
S7_EX_CLOS_H1,16,45,2.8125
S7_EX_CLOS_H2,16,45,2.8125
S7_EX_CLOS_H3,16,45,2.8125
S7_EX_CLOS_H4,16,45,2.8125
S7_EX_CLOS_H5,16,45,2.8125
S7_EX_CLOS_H6,16,45,2.8125
S7_EX_CLOS_H7,16,45,2.8125
S7_EX_OPEN_H1,16,45,2.8125
S7_EX_OPEN_H2,16,45,2.8125
S7_EX_OPEN_H3,16,45,2.8125
S7_EX_OPEN_H4,16,45,2.8125
S7_EX_OPEN_H5,16,45,2.8125
S7_EX_OPEN_H6,16,45,2.8125
S7_EX_OPEN_H7,16,45,2.8125
